編號,行政區,廠商名稱〈市招〉,所屬單位,經營主體,市話,分機,行動電話,地址,經度,緯度,備註,
358,信義,Bhasantii 寶萱瑜珈,私立,天寶企業,,,0955929793,臺北市信義區信義路四段391號6樓之1,121.5584,25.0332,瑜珈教室,
359,松山,揪in瑜伽教室 JOIN YOGA CAFÉ,私立,揪印瑜珈工作室,,,0902067186,臺北市松山區南京東路四段197號11樓,121.5569,25.0517,瑜珈教室,
360,松山,小島好日 Islanday Studio,私立,千島生活文化有限公司,,,0970862180,臺北市松山區吉祥路43號地下一樓,121.5625,25.0501,瑜珈教室,
361,內湖,好時光女生運動樂園西湖樂園,私立,好時光參參壹運動有限公司,(02)26275361,,,臺北市內湖區內湖路一段319號2樓,121.5678,25.0823,瑜珈教室,
362,北投,小島瑜伽,私立,嶼然共享空間有限公司,,,0919547060,臺北市北投區西安街一段327號2樓,121.5159,25.1132,瑜珈教室,
363,士林,艾珈堤 Yoga士林館,私立,艾珈林有限公司,(02)28891966,,,臺北市士林區中正路287號3樓,121.5240,25.0947,瑜珈教室,
364,文山,景美游泳池(運動教室),體育局,中國青年救國團臺北市景美游泳池,(02)29353602,,,臺北市文山區羅斯福路五段176巷50號1樓,121.5365,25.0039,瑜珈教室,
365,大安,統帥撞球俱樂部,私立,統帥遊樂場,(02)27113809,,,臺北市大安區忠孝東路四段197號9樓之8,121.5515,25.0417,撞球場及攀岩場,
366,中山,9 STAR 撞球休閒館,私立,九樂商行,(02)25111088,,,臺北市中山區民生東路一段29號3樓之2,121.5250,25.0583,撞球場及攀岩場,
367,中正,Hello Taipei Sports Space,私立,哈囉休閒撞球館,(02)23921758,,,臺北市中正區信義路2段101號地下1樓,121.5276,25.0342,撞球場及攀岩場,
368,文山,亞運撞球運動館,私立,全球撞球館,(02)29345895,,,臺北市文山區羅斯福路五段88號地下1樓,121.5381,25.0076,撞球場及攀岩場,
369,北投,運動家撞球館,私立,米家撞球用品社,(02)28276872,,,臺北市北投區尊賢街226號地下一樓,121.5077,25.1160,撞球場及攀岩場,
370,松山,9PM 撞球飛鏢概念館,私立,九球大師撞球概念館,(02)25795600,,,臺北市松山區八德路三段83號地下1樓,121.5532,25.0483,撞球場及攀岩場,
371,信義,有誼撞球運動館,私立,有誼撞球運動館,(02)87852797,,,臺北市信義區忠孝東路五段669號地下1樓,121.5796,25.0420,撞球場及攀岩場,
372,萬華,原岩攀岩館萬華店               ,私立,原岩運動顧問有限公司,(02)23088250,,,臺北市萬華區大理街149號1樓,121.4968,25.0342,撞球場及攀岩場,
373,南港,市民抱石攀岩館                     ,私立,拔山企業股份有限公司,(02)27880615,,,臺北市南港區市民大道八段552號2樓,121.6138,25.0539,撞球場及攀岩場,
374,中正,臺北市青少年發展處Y17攀岩館          ,公辦民營,思福緹股份有限公司台北辦事處,(02)23515215,,,臺北市中正區仁愛路一段17號9樓,121.5222,25.0390,撞球場及攀岩場,
375,大同,double8 岩究所                  ,私立,思福緹股份有限公司,(02)25508081,,,臺北市大同區迪化街一段251號2樓,121.5093,25.0607,撞球場及攀岩場,
376,中山,角‧攀岩館                   ,私立,忠明運動顧問股份有限公司,(02)25633749,,,臺北市中山區新生北路一段86號1樓,121.5297,25.0476,撞球場及攀岩場,
377,士林,紅石攀岩館 RedRock                     ,私立,紅石攀岩有限公司,(02)28837591,,,臺北市士林區承德路四段261號地下1樓 ,121.5180,25.0896,撞球場及攀岩場,
378,士林,The Little Rock 小岩館天母店                          ,私立,樂石科技有限公司,(02)28347217,,,臺北市士林區忠誠路二段12號1樓  ,121.5275,25.1089,撞球場及攀岩場,
379,信義,臺北醫學大學,私立,臺北醫學大學,(02)2236~1661,2273,,臺北市信義區吳興街250號,121.5598,25.0260,室內游泳池,
380,信義,信義運動中心,體育局,全越運動事業股份有限公司信義運動中心,(02)87861911,114,,臺北市信義區松勤街100號,121.5667,25.0316,室內游泳池,
381,信義,台北市中華基督教青年會永吉會館,私立,財團法人台北市中華基督教青年會,(02)27631261,,,臺北市信義區永吉路500號,121.5772,25.0451,室內游泳池,
382,松山,世界健身中心民生店,私立,京庚健康世界股份有限公司民生分公司,(02)87128200,,,臺北市松山區民生東路三段156號地下1樓,121.5450,25.0573,室內游泳池,
383,松山,汐游寶寶,私立,汐游寶寶股份有限公司,(02)25778555,,,臺北市松山區南京東路四段2號地下1樓,121.5474,25.0507,室內游泳池,
384,松山,松山運動中心,體育局,匯陽百貨事業股份有限公司松山運動中心分公司,(02)77555058,,,臺北市松山區敦化北路1號,121.5478,25.0489,室內游泳池,
385,松山,三民公園游泳池,體育局,優伯行銷顧問三民公園分公司,(02)87876527,,,臺北市松山區撫遠街298號1樓,121.5638,25.0610,室內外游泳池,
386,松山,茹曦酒店游泳池,私立,優勢開發管理顧問有限公司,(02)27126381,,,臺北市松山區敦化北路100號5樓,121.5458,25.0523,室外游泳池,
387,大安,World Gym 健身俱樂部光復店,私立,香港商世界健身事業有限公司光復分公司 ,(02)87713555,,,臺北市大安區忠孝東路四段330號地下1樓,121.5549,25.0410,室內游泳池,
388,大安,大安運動中心,體育局,長佳機電工程股份有限公司大安運動中心暨和平籃球館營業所,(02)23770300,,,臺北市大安區辛亥路三段55號,121.5431,25.0206,室內游泳池,
389,大安,國立臺北教育大學泳健館,教育部（學校委外）,恆動力有限公司泳健館營業所,(02)27373378,,,臺北市大安區和平東路二段134號,121.5438,25.0223,室內游泳池,
390,大安,國立臺灣師範大學游泳館,教育部（學校自營）,國立臺灣師範大學,(02)77343181,,,臺北市大安區和平東路一段162號,121.5250,25.0256,室內游泳池,
391,大安,國立臺灣科技大學游泳池,教育部（學校自營）,國立臺灣科技大學,(02)27376503,,,臺北市大安區基隆路四段43號,121.5428,25.0138,室內游泳池,
392,大安,國立臺灣大學綜合體育館溫水游泳池,教育部（學校自營）,國立臺灣大學綜合體育館,(02)33665959,,,臺北市大安區羅斯福路四段1號,121.5360,25.0206,室內游泳池,
393,大安,國立臺灣大學總區室外游泳池,教育部（學校自營）,國立臺灣大學校總區運動場館,(02)33669514,,,臺北市大安區羅斯福路四段1號,121.5360,25.0206,室外游泳池,
394,大安,師大附中運動中心游泳池,教育部（學校委外）,舞動陽光股份有限公司師大附中營業所,(02)27086000,,,臺北市大安區信義路三段111巷143號,121.5375,25.0360,室內游泳池,
395,中山,中山運動中心,體育局,社團法人中國青年救國團臺北市中山運動中心,(02)25711060,,,臺北市中山區中山北路二段44巷2號,121.5188,25.0548,室內游泳池,
396,中山,榮星花園游泳池,體育局,全越運動事業股份有限公司榮星花園游泳池館,(02)25079366,,,臺北市中山區建國北路三段39號,121.5352,25.0640,室內游泳池,
397,中山,新生公園游泳池,體育局,優伯行銷有限公司,(02)25956489,,,臺北市中山區新生北路三段105號,121.5288,25.0686,室內游泳池,
398,中山,World Gym 健身俱樂部大直店,私立,香港商世界健身事業有限公司大直分公司,(02)85012333,,,臺北市中山區堤頂大道二段588號,121.5571,25.0843,室內游泳池,
399,大同,大同運動中心,體育局,舞動陽光股份有限公司大同分公司,(02)25920055,,,臺北市大同區大龍街51號,121.5135,25.0648,室內游泳池,
400,大同,桑富士運動俱樂部,私立,桑富士股份有限公司,(02)25527579,,,臺北市大同區平陽街29號1樓,121.5145,25.0551,室內游泳池,
401,大同,玉泉公園游泳池,體育局,星哲企業股份有限公司圓山分公司,(02)25509828,,,臺北市大同區西寧北路28號,121.5059,25.0478,室內游泳池,
402,大同,統一健身俱樂部台北京站館,私立,統一佳佳股份有限公司京站分公司,(02)25588148,,,臺北市大同區重慶北路一段1之1號1樓,121.5113,25.0495,游泳池,
403,南港,中央研究院綜合體育館游泳池,中研院自營,中央研究院,(02)27852717,7328,,臺北市南港區研究院路二段128號,121.6087,25.0409,室內游泳池,
404,士林,士林運動中心,體育局,財團法人台北市中華基督教青年會,(02)28806066,,,臺北市士林區士商路1號,121.5189,25.0894,室內游泳池,
405,士林,前港公園游泳池,體育局,運博國際股份有限公司,(02)28805598,,,臺北市士林區前港街45號,121.5187,25.0857,室內外游泳池,
406,士林,World Gym 健身俱樂部天母店,私立,香港商世界健身事業有限公司天母分公司,(02)28755050,,,臺北市士林區中山北路七段34號,121.5285,25.1199,室外游泳池,
407,萬華,台北市中華基督教青年會萬華會館,私立,財團法人台北市中華基督教青年會,(02)23610271,,,臺北市萬華區昆明街290號,121.5012,25.0382,室內游泳池,
408,萬華,萬華運動中心 ,體育局,匯陽百貨事業股份有限公司萬華運動中心分公司,(02)23759900,,,臺北市萬華區西寧南路6之1號,121.5062,25.0474,室內游泳池,
409,萬華,青年公園游泳池,體育局,運博國際股份有限公司,(02)23053800,,,臺北市萬華區水源路199號,121.5065,25.0228,室內外游泳池,
410,文山,國立政治大學游泳館,教育部（學校自營）,國立政治大學,(02)29393091,62960,,臺北市文山區指南路二段64號,121.5730,24.9869,室內游泳池,
411,文山,景美游泳池,體育局,中國青年救國團臺北市景美游泳池,(02)29353602,,,臺北市文山區羅斯福路五段176巷50號1樓,121.5337,25.0036,游泳池,
412,文山,靜心中小學,私立,桑斯伯國際有限公司文山營業站,(02)29353602,,,臺北市文山區興隆路二段46號,121.5444,24.9985,室內游泳池,
413,文山,文山運動中心,體育局,中國青年救國團臺北市文山運動中心,(02)22308268,,,臺北市文山區興隆路三段222號,121.5589,24.9970,室內游泳池,
414,文山,木柵公園游泳池,體育局,優伯行銷有限公司,(02)27265151,,,臺北市文山區興隆路四段50號木柵公園內,121.5598,24.9862,游泳池,
415,文山,國立陽明大學游泳池,教育部（學校委外）,筑燕休閒事業股份有限公司陽明營業所,(02)28206000,,,臺北市北投區立農街二段155號,121.5102,25.1223,室內游泳池,
416,文山,國立臺北護理健康大學北護水療中心,教育部（學校委外）,展昭國際企業股份有限公司國立臺北護理健康大學水療中心,(02)28281528,,,臺北市北投區明德路365號,121.5156,25.1182,室內游泳池,
417,北投,北投運動中心,體育局,建中工程股份有限公司北投分公司,(02)28202880,,,臺北市北投區石牌路一段39巷100號,121.5072,25.1165,室內游泳池,
418,北投,台北市中華基督教青年會唭哩岸會館,私立,財團法人台北市中華基督教青年會,(02)28227070,,,臺北市北投區承德路七段312號,121.5020,25.1171,室內游泳池,
419,北投,天溪綠地游泳池,體育局,運博國際股份有限公司,(02)28752289,,,臺北市北投區中山北路七段219巷3弄170號,121.5286,25.1285,室外游泳池,
420,北投,前山公園游泳池,體育局,運博國際股份有限公司,,,0937982098,臺北市北投區建國街4號,121.5459,25.1513,室外游泳池,
421,北投,七虎公園游泳池,體育局,樂霏翔有限公司,,,0918667745,臺北市北投區育仁路108號,121.4988,25.1363,室外游泳池,
422,北投,臺北藝術大學游泳館,教育部（學校委外）,城市國際文教事業股份有限公司,(02)28969898,,,臺北市北投區學園路1號,121.4700,25.1340,室內游泳池,
423,北投,春天酒店紅檜俱樂部,私立,春天酒店股份有限公司,(02)28924546,23,,臺北市北投區幽雅路18號3樓,121.5110,25.1377,室外游泳池,
424,內湖,內湖運動中心,體育局,社團法人中國青年救國團,(02)26562869,,,臺北市內湖區洲子街12號,121.5721,25.0781,室內游泳池,
425,內湖,碧湖公園游泳池,體育局,優伯行銷有限公司,(02)26595962,,,臺北市內湖區內湖路二段175號,121.5809,25.0822,室外游泳池,
426,內湖,大湖公園游泳池,體育局,星哲企業股份有限公司大湖分公司,(02)87911698,,,臺北市內湖區成功路五段31號,121.6019,25.0826,室內外游泳池,
427,中正,中正運動中心,體育局,長佳機電工程股份有限公司中正營業所,(02)33225016,,,臺北市中正區信義路一段1號,121.5167,25.0385,室內游泳池,
